Price,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMD,CAT,GOOGL,LMT,MSFT,NVDA,NVO,^GSPC,AAPL,AMD,CAT,GOOGL,LMT,MSFT,NVDA,NVO,^GSPC,AAPL,AMD,CAT,GOOGL,LMT,MSFT,NVDA,NVO,^GSPC,AAPL,AMD,CAT,GOOGL,LMT,MSFT,NVDA,NVO,^GSPC,AAPL,AMD,CAT,GOOGL,LMT,MSFT,NVDA,NVO,^GSPC
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-25,200.76351928710938,143.39999389648438,367.6015625,170.19447326660156,446.3512268066406,488.3691101074219,154.10476684570312,64.243408203125,6092.16015625,202.8651820841085,144.17999267578125,370.1836335111342,171.86970222006798,452.6707691406902,490.64097201284227,154.24458003760031,65.70283416237606,6108.509765625,199.82723133036671,139.4600067138672,365.5537484735256,167.07338726794845,444.5108499876569,485.5119574284625,149.0614802461701,63.78555278874223,6080.08984375,200.65395335177794,140.94000244140625,369.0063721605564,167.15316152434053,452.01835240845503,488.1409520653471,149.07147669890958,65.68375988572704,6104.22998046875,39525700,74607200,1737700,35479000,1265500,17495100,269146500,13688100,5171110000
2025-06-26,200.2057342529297,143.67999267578125,377.79132080078125,173.04632568359375,445.8741455078125,493.5080871582031,154.8137969970703,64.57726287841797,6141.02001953125,201.83925306874522,146.0,378.2364846601638,173.19590810922037,451.88211559196304,494.09340820956044,156.5115326130379,65.22589744923357,6146.52001953125,198.67182635942322,141.91000366210938,369.04597187005993,169.45657569929264,444.6472571521261,488.9048412091741,153.795149532093,64.09079240841673,6107.27001953125,200.63402778217431,145.97000122070312,369.99568496091086,171.93948268163984,447.24711817954403,489.0735074056833,155.77251147358507,64.5009584940425,6112.08984375,50799100,58180100,2575100,31796700,1590100,21578900,198145700,8142000,5308140000
2025-06-27,200.28541564941406,143.80999755859375,380.59100341796875,178.0221405029297,446.5459899902344,492.0100402832031,157.5401611328125,65.34989929199219,6173.06982421875,202.41695863400855,147.75,383.341237486264,178.17170771682706,447.12049118061765,495.3434002058453,158.49889084686143,65.76006533727833,6187.68017578125,199.20968154525062,141.6300048828125,378.6519970725463,171.241481190895,439.60324131613373,489.12309627390664,155.05346784206984,64.83480654134354,6132.35009765625,201.09221242791352,144.17999267578125,378.91909538532093,173.046329910377,443.673484038318,493.60726767719865,155.83242906789442,65.58836775372879,6150.7001953125,73188600,61937900,4455000,108140200,1996400,34539200,263234500,5629400,7889350000
2025-06-30,204.3592529296875,141.89999389648438,384.05352783203125,175.7286834716797,450.97650146484375,493.4683837890625,157.77987670898438,65.83637237548828,6204.9501953125,206.57048164253425,146.0,384.98346591126426,180.7144602330707,451.638635394641,496.79184348109624,158.44898377155747,66.3419316478895,6215.080078125,198.4726031076903,141.00999450683594,380.689936787767,174.08338322657394,445.8546360963911,491.404849352638,155.75257785474952,65.37851698583462,6174.97021484375,201.211736268348,144.0,382.1738766770749,180.26574336762212,447.3834100912009,493.1013206195562,158.18931982233872,66.22746416173598,6193.35986328125,91912800,42972500,2791400,63378900,1205600,28369000,194580300,7637400,5782900000
2025-07-01,206.99879455566406,136.11000061035156,386.7344970703125,175.3397979736328,453.70294189453125,488.1508483886719,153.09609985351562,66.59947967529297,6198.009765625,209.35942450018746,140.22999572753906,389.672698975903,175.58908681807281,457.1110208066452,494.10330273882704,156.9909063970138,67.17180259647735,6210.77978515625,205.3254252695324,135.1199951171875,380.13589838049654,173.0363714854685,447.91894273497076,487.08935037246306,151.2885097592641,64.97789685235708,6177.97021484375,205.85332972802502,138.77000427246094,382.45084076204796,175.24009156508697,450.84015323106837,492.53583641461546,156.08211312403307,65.25452117438371,6187.25,78788900,55257200,2393600,35904500,1242800,19945400,213143600,6851700,6275310000
2025-07-02,211.60055541992188,138.52000427246094,394.1640930175781,178.13182067871094,450.4019775390625,487.1984558105469,157.04083251953125,66.59947967529297,6227.419921875,212.49699303139835,139.77999877929688,394.3718663325584,178.35119606008848,454.66694978619716,489.589361899926,157.39037305932783,67.08595743316604,6227.60009765625,207.3175436349344,135.22000122070312,385.25058157592434,174.5719841997796,446.56545189221197,484.82741061180644,152.7665268185242,65.72191737764486,6188.2900390625,208.08450527048316,135.52999877929688,388.49546215144966,175.04063318866915,453.76138162854284,486.10716647659297,152.77650803107835,66.35147040770345,6193.8798828125,67941800,39228000,2713700,29128900,1127300,16319600,171224100,7908300,5645710000
2025-07-03,212.70614624023438,137.91000366210938,393.6001892089844,179.01930236816406,450.3727722167969,494.8870544433594,159.12806701660156,65.97946166992188,6279.35009765625,213.8017903991559,139.5,398.11139410432855,179.15890351135596,453.12846423540964,496.1668406146565,160.7658851337161,66.19885588814475,6284.64990234375,210.97301649264048,137.32000732421875,393.3330909061186,176.54636131074304,448.86349193528906,489.5298515465148,157.56016311083363,65.41667951303691,6246.4599609375,211.31166931275297,139.11000061035156,394.64886780625375,177.9922335542414,451.5315214843124,489.8969147231798,158.1593559409033,66.08438839027009,6246.4599609375,34955800,28646000,1737800,21689700,707900,13984800,143716100,4047900,3378110000
2025-07-07,209.120361328125,134.8000030517578,387.3182067871094,176.28709411621094,456.74102783203125,493.77593994140625,158.029541015625,66.1225357055664,6229.97998046875,215.37554414763466,137.44000244140625,393.79806544504976,178.78996387462078,458.1918863035493,494.7977767455099,159.09810995597124,66.33238911923132,6262.06982421875,207.97491173225177,133.5,383.9348106159338,175.18025102838192,449.2529886954601,491.3056810299541,157.13072890250317,65.54067206857911,6201.0,211.8395692407974,136.55999755859375,393.79806544504976,178.5506411042797,452.3007899463363,493.4386378219278,157.98958568340035,66.16069153327639,6259.0400390625,50229000,37395000,3012900,34175600,1224100,13981600,140139000,7313500,5236740000
